subject_count,corr,top_k,tree_count,folds_evaluated,selected_features_mean,cold_total_mean,warm_total_mean,load_time_mean,cache_size_mb_mean,time_saved_mean,speedup_mean,mb_per_second_saved_mean,predictions_match_rate
3,,30.0,25,3,30.0,0.08605051040649414,0.042023022969563804,0.005265076955159505,0.36605580647786456,0.044027487436930336,2.0512859598846687,8.402445323047663,1.0
3,,30.0,50,3,30.0,0.12318054835001628,0.0471956729888916,0.010478893915812174,0.7303314208984375,0.07598487536112468,2.6104504846760217,9.606157949116922,1.0
3,,30.0,100,3,30.0,0.19460296630859375,0.06729626655578613,0.021151065826416016,1.4557654062906902,0.12730669975280762,2.898875773336089,11.532995947097517,1.0
3,,30.0,200,3,30.0,0.3359081745147705,0.10717431704203288,0.044057766596476235,2.916908582051595,0.22873385747273764,3.1446231395009154,12.743531226528361,1.0
3,,30.0,400,3,30.0,0.6795335610707601,0.19335246086120605,0.09075816472371419,5.835672696431478,0.486181100209554,3.514855496635539,12.00826841307543,1.0
3,,50.0,25,3,50.0,0.0886092980702718,0.04178611437479655,0.0042146046956380205,0.3134466807047526,0.04682318369547526,2.122292072333668,6.730232230037963,1.0
3,,50.0,50,3,50.0,0.11918822924296062,0.04754948616027832,0.009354591369628906,0.6243969599405924,0.0716387430826823,2.507074864876333,8.71078338808696,1.0
3,,50.0,100,3,50.0,0.19446500142415366,0.05507063865661621,0.018393754959106445,1.2451184590657551,0.13939436276753744,3.536419158109658,8.929317256991482,1.0
3,,50.0,200,3,50.0,0.3352189858754476,0.09851161638895671,0.03910271326700846,2.4877684911092124,0.23670736948649088,3.401784719513025,10.49247496113977,1.0
3,,50.0,400,3,50.0,0.638905922571818,0.19020891189575195,0.0788268248240153,4.971210479736328,0.4486970106760661,3.365918243783218,11.077862929181947,1.0
3,,,25,3,149.0,0.08721168835957845,0.038239479064941406,0.005012830098470052,0.29523468017578125,0.04897220929463705,2.283603948819571,6.02721161294827,1.0
3,,,50,3,149.0,0.12354707717895508,0.042331854502360024,0.008779525756835938,0.5854698816935221,0.08121522267659505,2.9251047015164544,7.2667067436172,1.0
3,,,100,3,149.0,0.2037362257639567,0.04995131492614746,0.016608476638793945,1.1665013631184895,0.15378491083780924,4.0788138596220564,7.58834002329224,1.0
3,,,200,3,149.0,0.33129127820332843,0.10280044873555501,0.04821515083312988,2.32661501566569,0.22849082946777344,3.3069991002868004,10.226324854237605,1.0
3,,,400,3,149.0,0.643013079961141,0.17116737365722656,0.07451160748799641,4.655987739562988,0.47184570630391437,3.7588108516746597,9.868209771096943,1.0
30,,30.0,25,3,30.0,0.45932888984680176,0.13651339213053384,0.04649162292480469,4.428428014119466,0.3228154977162679,3.3673163772512624,13.722539364751361,1.0
30,,30.0,50,3,30.0,0.7624228795369467,0.19420774777730307,0.09899576505025227,8.8506072362264,0.5682151317596436,3.9251363093032445,15.599701187218374,1.0
30,,30.0,100,3,30.0,1.3499818642934163,0.3069213231404622,0.20325827598571777,17.686453183492024,1.043060541152954,4.398311273257157,16.959542511525978,1.0
30,,30.0,200,3,30.0,2.5096909205118814,0.5629128615061442,0.43047793706258136,35.36115519205729,1.9467780590057373,4.462616474594037,18.175348852405758,1.0
30,,30.0,400,3,30.0,4.826335112253825,1.0811944007873535,0.9046216805775961,70.6759843826294,3.745140711466471,4.465476200744235,18.870683042619063,1.0
30,,50.0,25,3,50.0,0.5334362983703613,0.13643383979797363,0.041550079981486,3.9639628728230796,0.3970024585723877,3.9097304210867954,9.999105622990243,1.0
30,,50.0,50,3,50.0,0.7966397603352865,0.1750041643778483,0.08216357231140137,7.931667009989421,0.6216355959574381,4.558762646108374,12.765977203233424,1.0
30,,50.0,100,3,50.0,1.4176349639892578,0.3106270631154378,0.19322959582010904,15.860160827636719,1.10700790087382,4.5729964101724505,14.33473062703168,1.0
30,,50.0,200,3,50.0,2.715899705886841,0.5228797594706217,0.38656894365946454,31.695834159851074,2.1930199464162192,5.194046900746056,14.455644381315805,1.0
30,,50.0,400,3,50.0,5.169023593266805,0.9675670464833578,0.7890920639038086,63.32548586527506,4.201456546783447,5.343790462184064,15.07263349523628,1.0
30,,,25,3,149.0,0.5967561403910319,0.08532913525899251,0.038741668065389,3.8019564946492515,0.5114270051320394,6.994781933069639,7.433830213642113,1.0
30,,,50,3,149.0,0.9236877759297689,0.12284811337788899,0.07905538876851399,7.607853889465332,0.8008396625518799,7.533949416761776,9.502157352834093,1.0
30,,,100,3,149.0,1.6235110759735107,0.22892077763875326,0.17058269182840982,15.233946482340494,1.3945902983347576,7.097668837308408,10.930615604246313,1.0
30,,,200,3,149.0,3.0756738980611167,0.4389013449350993,0.35649681091308594,30.46381664276123,2.636772553126017,7.0124920145077185,11.552781815736578,1.0
30,,,400,3,149.0,6.017847299575806,0.8613710403442383,0.7446513970692953,60.89134724934896,5.156476259231567,6.9866955166521585,11.808353585855373,1.0
128,,30.0,25,3,30.0,2.028968413670858,0.4929523468017578,0.22525294621785483,20.376627604166668,1.5360160668690999,4.1159204222504435,13.26734066476007,1.0
128,,30.0,50,3,30.0,3.370030482610067,0.7426021893819174,0.4572749137878418,40.70262495676676,2.6274282932281494,4.539371625643032,15.491677443520317,1.0
128,,30.0,100,3,30.0,6.030895074208577,1.2283329963684082,0.9317216078440348,81.39008903503418,4.802562077840169,4.910707916640521,16.947917757035018,1.0
128,,30.0,200,3,30.0,11.372591018676758,2.126412868499756,1.8198649883270264,162.84444300333658,9.246178150177002,5.348709325595291,17.61301654809462,1.0
128,,30.0,400,3,30.0,22.08843421936035,3.9531663258870444,3.5949368476867676,325.65716139475506,18.13526789347331,5.587719514732424,17.957431295927506,1.0
128,,50.0,25,3,50.0,2.1858959992726645,0.4628169536590576,0.18957996368408203,17.18568706512451,1.7230790456136067,4.724819284158392,9.974394809232493,1.0
128,,50.0,50,3,50.0,3.5309671560923257,0.6411319573720297,0.3726809024810791,34.33619054158529,2.8898351987202964,5.507915509251821,11.89097042805198,1.0
128,,50.0,100,3,50.0,6.226921399434407,1.0332845052083333,0.7496764659881592,68.64803632100423,5.193636894226074,6.0281507157659915,13.220569307192662,1.0
128,,50.0,200,3,50.0,12.049336353937784,1.830854098002116,1.528299331665039,137.27884324391684,10.218482255935669,6.581417946427268,13.43479201678853,1.0
128,,50.0,400,3,50.0,24.72384738922119,3.8255534172058105,3.4485326608022056,274.4937270482381,20.89829397201538,6.4697633702329655,13.24221984335878,1.0
128,,,25,3,149.0,3.197107712427775,0.2804413636525472,0.21628761291503906,16.278626759847004,2.916666348775228,11.431485596696772,5.584887941573025,1.0
128,,,50,3,149.0,4.985407670338948,0.4761519432067871,0.3996305465698242,32.578301111857094,4.509255727132161,10.514512623438103,7.228471865718668,1.0
128,,,100,3,149.0,8.450612862904867,0.8727835814158121,0.7882540225982666,65.06918907165527,7.577829281489055,9.743338465757443,8.596140257374325,1.0
128,,,200,3,149.0,16.936159054438274,1.7643118699391682,1.6652336120605469,130.15853786468506,15.171847184499105,9.608436231906646,8.58909425127427,1.0
128,,,400,3,149.0,35.29229108492533,3.9001351992289224,3.749876022338867,260.1499064763387,31.39215588569641,9.063925571965646,8.287692138694538,1.0
